type,obfuscated_package,obfuscated_class,meaningful_name,notes
class,com.corrodinggames.rts.game,a,GameFlag,Abstract state flag holder (id + 3 flags)
class,com.corrodinggames.rts.game,b,GameFlagImpl,Default GameFlag implementation
class,com.corrodinggames.rts.game,c,NetworkPlayer,PlayerState subclass for network players
class,com.corrodinggames.rts.game,d,NeutralPlayer,PlayerState subclass with teamId=-2 (neutral)
class,com.corrodinggames.rts.game,e,HumanPlayer,PlayerState subclass for local human (has name)
class,com.corrodinggames.rts.game,h,TagFilter,Team tag filter - checks tags on units
class,com.corrodinggames.rts.game,m,ProjectileType,"v19.113g 运行时铁证修正: 2值枚举 normal/nuke (02b m: a(""normal"",0) b(""nuke"",1) + 存档 #Enum:m:nuke) (旧误名 GameStateEnum)"
class,com.corrodinggames.rts.game,o,GameMode,5-value enum (skirmish/custom/saved/steam/relay)
class,com.corrodinggames.rts.game,q,UnitTypeComparator,7-value enum (resource type identifiers)
class,com.corrodinggames.rts.game,r,UnitTypeCount,Unit type + count pair for build queues
class,com.corrodinggames.rts.game,u,LobbyPlayer,PlayerState subclass (slot=-99
class,com.corrodinggames.rts.gameFramework,ae,ShaderProgram,OpenGL shader wrapper
class,com.corrodinggames.rts.gameFramework,af,TextureCache,Texture caching helper
class,com.corrodinggames.rts.gameFramework,ao,GameInput,Input state holder
class,com.corrodinggames.rts.gameFramework,aq,MusicPlayerBase,main-deobf-anchored: Main.class 用法/字节码锚定 (2026-08-16): 抽象音乐播放器基类 (protected am e); 原 TeamColor 有误
class,com.corrodinggames.rts.gameFramework,ar,GameTimer,Game timer utility
class,com.corrodinggames.rts.gameFramework,as,PacketBuilder,Abstract packet builder base
class,com.corrodinggames.rts.gameFramework,av,NullMusicPlayer,"main-deobf-anchored: Main.class 用法/字节码锚定 (2026-08-16): 空音乐工厂 (日志 ""Null musicFactory - load""); 原 PingTimer 有误"
class,com.corrodinggames.rts.gameFramework,aw,TextPacketBuilder,PrintStream-based packet debug builder
class,com.corrodinggames.rts.gameFramework,az,SpriteBase,Sprite/dimension base class (extends am)
class,com.corrodinggames.rts.gameFramework,bc,GameEvent,Game event data container
class,com.corrodinggames.rts.gameFramework,bf,UnitGroup,Unit group/formation tracker
class,com.corrodinggames.rts.gameFramework,bi,StatsTimeline,Stats timeline entry
class,com.corrodinggames.rts.gameFramework,bk,StatsCallback,Stats sample callback
class,com.corrodinggames.rts.gameFramework,bm,GameTimerTask,Timer task holder
class,com.corrodinggames.rts.gameFramework,bp,Attachment,Unit attachment base
class,com.corrodinggames.rts.gameFramework,bu,FrameCounter,Frame counter/timer
class,com.corrodinggames.rts.game.units,x,MovableUnit,Abstract movable unit base (extends UnitType)
class,com.corrodinggames.rts.game.units,w,CustomUnitBase,Abstract custom unit base (extends UnitType
class,com.corrodinggames.rts.game.units,v,DecorUnit,Abstract decoration unit base (extends UnitInstance)
class,com.corrodinggames.rts.game.units,j,LandUnit,Land unit base (extends MovableUnit)
class,com.corrodinggames.rts.game.units,g,ExperimentalLandUnit,Experimental land unit (extends LandUnit + d)
class,com.corrodinggames.rts.game.units,f,WaterUnit,Water/naval unit (extends MovableUnit)
class,com.corrodinggames.rts.game.units,k,AirUnit,Air unit (extends MovableUnit)
class,com.corrodinggames.rts.game.units,l,HoverUnit,Hover unit (extends MovableUnit)
class,com.corrodinggames.rts.game.units,m,SubmarineUnit,Submarine unit (extends MovableUnit)
class,com.corrodinggames.rts.game.units,t,AmphibiousUnit,Amphibious unit (extends MovableUnit)
class,com.corrodinggames.rts.game.units,u,TimedBomb,Timed bomb/self-destruct unit (extends MovableUnit)
class,com.corrodinggames.rts.game.units,al,TreeDecoration,Tree/palm decoration on map
class,com.corrodinggames.rts.game.units,ai,FireDecoration,Fire/flame decoration effect
class,com.corrodinggames.rts.game.units,aq,PathfindingHelper,Bresenham line + pathfinding utility
class,com.corrodinggames.rts.game.units,n,UnitCategory,Unit category enum (extends Enum)
class,com.corrodinggames.rts.game.units,o,UnitBehaviorEnum,Unit behavior enum (extends Enum)
class,com.corrodinggames.rts.game.units,r,UnitActionEnum,Unit action enum (extends Enum)
class,com.corrodinggames.rts.game.units,p,UnitQueryFilter,Unit query/filter class
class,com.corrodinggames.rts.game.units,q,SpecialActionType,Special action type class (extends s)
class,com.corrodinggames.rts.game.units,ac,DecorType1,Decoration type (extends i)
class,com.corrodinggames.rts.game.units,ae,DecorType2,Decoration type (extends i)
class,com.corrodinggames.rts.game.units,ah,DecorType3,Decoration type (extends i)
class,com.corrodinggames.rts.game.units,aj,DecorType4,Decoration type (extends i)
class,com.corrodinggames.rts.game.units,ap,UnitTurret,Turret/gun mount on unit; 字段a-m语义: a=turretOffsetX b=turretOffsetY c=turretPivotX d=turretPivotY e=restAngle f=maxRotationAngle g=hasLimitedArc h=minAngleLimit i=maxAngleLimit j=targetUnit k=currentAngle l=targetAngle m=isTurning
class,com.corrodinggames.rts.game.units,ad,UnitAttachment,Unit attachment data
class,com.corrodinggames.rts.game.units,af,UnitTransform,Unit transform/conversion data
