type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
method,com.corrodinggames.rts.game,g,a(com.corrodinggames.rts.game.units.am, float,""" boolean)""",getDamageMultiplier
field,com.corrodinggames.rts.game,g,A,isDead,Projectile dead/expired flag,verified-exists
field,com.corrodinggames.rts.game,g,B,projectileTexture,Projectile sprite texture,verified-exists
field,com.corrodinggames.rts.game,g,C,impactTexture,Impact/explosion texture,verified-exists
field,com.corrodinggames.rts.game,g,D,velocityX,Current X velocity,verified-exists
field,com.corrodinggames.rts.game,g,E,velocityY,Current Y velocity,verified-exists
field,com.corrodinggames.rts.game,g,F,targetX,Target X coordinate,verified-exists
field,com.corrodinggames.rts.game,g,G,targetY,Target Y coordinate,verified-exists
field,com.corrodinggames.rts.game,g,H,targetZ,Target Z/elevation coordinate,verified-exists
field,com.corrodinggames.rts.game,g,I,spawnX,Spawn origin X position,verified-exists
field,com.corrodinggames.rts.game,g,J,spawnY,Spawn origin Y position,verified-exists
field,com.corrodinggames.rts.game,g,K,minRange,Minimum attack range,verified-exists
field,com.corrodinggames.rts.game,g,L,ownerUnit,Unit that fired this projectile,verified-exists
field,com.corrodinggames.rts.game,g,M,targetUnit,Target unit reference,verified-exists
field,com.corrodinggames.rts.game,g,N,weaponIndex,Weapon/turret index that fired,verified-exists
field,com.corrodinggames.rts.game,g,O,maxRange,Maximum attack range (float),verified-exists
field,com.corrodinggames.rts.game,g,P,optimalRange,Optimal/ideal attack range,verified-exists
field,com.corrodinggames.rts.game,g,Q,reloadCooldown,Weapon reload cooldown time,verified-exists
field,com.corrodinggames.rts.game,g,R,burstDelay,Burst fire delay between shots,verified-exists
field,com.corrodinggames.rts.game,g,S,chargeTime,Charge-up time before firing,verified-exists
field,com.corrodinggames.rts.game,g,T,burstCount,Burst fire shot count,verified-exists
field,com.corrodinggames.rts.game,g,U,trailSpacing,Trail particle spacing interval,verified-exists
field,com.corrodinggames.rts.game,g,V,trailCount,Trail particle count,verified-exists
field,com.corrodinggames.rts.game,g,W,impactCount,Impact particle count,verified-exists
field,com.corrodinggames.rts.game,g,X,trailColor,Trail particle color (ARGB int),verified-exists
field,com.corrodinggames.rts.game,g,Y,trailTexture,Trail particle texture,verified-exists
field,com.corrodinggames.rts.game,g,Z,muzzleFlashTexture,Muzzle flash texture,verified-exists
method,com.corrodinggames.rts.game,g,a,getg,real-class-inferred: com.corrodinggames.rts.game.g,real-class-v1200
method,com.corrodinggames.rts.game,g,a(com.corrodinggames.rts.game.units.am),getUpgradeForUnit,g.java:133 returns h2.g payload of matching entry,body-verified-v1007
field,com.corrodinggames.rts.game,g,aA,altMinRange,Alternate minimum range,verified-exists
field,com.corrodinggames.rts.game,g,aB,altMaxRange,Alternate maximum range,verified-exists
field,com.corrodinggames.rts.game,g,aC,altSplashRadius,Alternate splash radius,verified-exists
field,com.corrodinggames.rts.game,g,aD,altDamage,Alternate damage value,verified-exists
field,com.corrodinggames.rts.game,g,aE,teamColor,Team color tint (default white),verified-exists
field,com.corrodinggames.rts.game,g,aF,spriteScale,Sprite render scale (default 1.0),verified-exists
field,com.corrodinggames.rts.game,g,aG,spriteRotation,Sprite rotation angle,verified-exists
field,com.corrodinggames.rts.game,g,aH,alpha,Render alpha/opacity (default 1.0),verified-exists
field,com.corrodinggames.rts.game,g,aI,renderLayer,Render layer/depth ordering,verified-exists
field,com.corrodinggames.rts.game,g,aJ,renderPriority,Render priority within layer,verified-exists
field,com.corrodinggames.rts.game,g,aK,tintRed,Red tint component,verified-exists
field,com.corrodinggames.rts.game,g,aL,tintGreen,Green tint component,verified-exists
field,com.corrodinggames.rts.game,g,aM,tintBlue,Blue tint component,verified-exists
field,com.corrodinggames.rts.game,g,aN,flashAlpha,Muzzle flash alpha intensity,verified-exists
field,com.corrodinggames.rts.game,g,aO,flashScale,Muzzle flash scale,verified-exists
field,com.corrodinggames.rts.game,g,aP,flashDuration,Muzzle flash duration ticks,verified-exists
field,com.corrodinggames.rts.game,g,aQ,trailAlpha,Trail alpha intensity,verified-exists
field,com.corrodinggames.rts.game,g,aR,trailScale,Trail particle scale,verified-exists
field,com.corrodinggames.rts.game,g,aS,airDamageMultiplier,Damage multiplier vs air,verified-exists
field,com.corrodinggames.rts.game,g,aT,groundDamageMultiplier,Damage multiplier vs ground,verified-exists
field,com.corrodinggames.rts.game,g,aU,submergedDamageMultiplier,Damage multiplier vs submerged,verified-exists
field,com.corrodinggames.rts.game,g,aV,hoverDamageMultiplier,Damage multiplier vs hover,verified-exists
field,com.corrodinggames.rts.game,g,aW,shieldDamageMultiplier,Damage multiplier vs shields,verified-exists
field,com.corrodinggames.rts.game,g,aX,parentWeapon,Parent weapon definition reference,verified-exists
field,com.corrodinggames.rts.game,g,aY,spawnerType,Spawner unit type reference,verified-exists
field,com.corrodinggames.rts.game,g,aZ,onHitUnits,Units spawned on impact,verified-exists
field,com.corrodinggames.rts.game,g,aa,impactSound,Impact sound effect reference,verified-exists
field,com.corrodinggames.rts.game,g,ab,shieldTexture,Shield impact texture,verified-exists
field,com.corrodinggames.rts.game,g,ac,launchSound,Launch/fire sound effect,verified-exists
field,com.corrodinggames.rts.game,g,ad,trailSound,Trail/ambient sound effect,verified-exists
field,com.corrodinggames.rts.game,g,ae,targetLostSound,Target lost sound effect,verified-exists
field,com.corrodinggames.rts.game,g,af,splashDamageRadius,Splash/AOE damage radius,verified-exists
field,com.corrodinggames.rts.game,g,ag,turnRate,Homing turn rate (default 3.0),verified-exists
field,com.corrodinggames.rts.game,g,ah,targetCategory,Valid target category tags,verified-exists
field,com.corrodinggames.rts.game,g,ai,avoidCategory,Avoid/ignore category tags,verified-exists
field,com.corrodinggames.rts.game,g,aj,onHitProjectiles,Sub-projectiles spawned on hit,verified-exists
field,com.corrodinggames.rts.game,g,ak,onDeathProjectiles,Sub-projectiles spawned on death,verified-exists
field,com.corrodinggames.rts.game,g,al,trailProjectiles,Trail sub-projectiles list,verified-exists
field,com.corrodinggames.rts.game,g,am,damageMultiplier,Damage multiplier float,verified-exists
field,com.corrodinggames.rts.game,g,an,acceleration,Acceleration rate (default 5.0),verified-exists
field,com.corrodinggames.rts.game,g,ao,maxTurnAngle,Max turn angle for homing,verified-exists
field,com.corrodinggames.rts.game,g,ap,braking,Braking/deceleration (default 0.5),verified-exists
field,com.corrodinggames.rts.game,g,aq,gravity,Gravity effect on projectile,verified-exists
field,com.corrodinggames.rts.game,g,ar,windResistance,Wind resistance/drag factor,verified-exists
field,com.corrodinggames.rts.game,g,as,waterDrag,Water drag multiplier,verified-exists
field,com.corrodinggames.rts.game,g,at,groundBounce,Ground bounce factor,verified-exists
field,com.corrodinggames.rts.game,g,au,pierceCount,Pierce-through target count,verified-exists
field,com.corrodinggames.rts.game,g,av,splashRadius,Splash damage radius (default 0.1),verified-exists
field,com.corrodinggames.rts.game,g,aw,splashFalloff,Splash damage falloff exponent,verified-exists
field,com.corrodinggames.rts.game,g,ax,weaponRange,Weapon range (default 120.0),verified-exists
field,com.corrodinggames.rts.game,g,ay,splashVisualRadius,Splash visual effect radius,verified-exists
field,com.corrodinggames.rts.game,g,az,splashDamage,Splash damage amount,verified-exists
