type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,com.corrodinggames.rts.game.units.d,AutoRepairCallback,a,repairTarget,Repair target unit (am),verified-exists
field,com.corrodinggames.rts.game.units.d,AutoRepairCallback,b,repairRange,Repair range (float),verified-exists
field,com.corrodinggames.rts.game.units.d,AutoRepairCallback,c,repairRate,Repair rate per second (float),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,a,builderId,Builder identifier (int),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,b,buildSpeed,Build speed multiplier (float),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,c,costResource,Cost resource component (b),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,d,bonusResource,Bonus/multiplier resource component (b),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,e,buildTargetType,Target unit type to build (h),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,f,isCurrentlyBuilding,Currently building flag (boolean),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,g,serializer,Serialization helper (as),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,h,buildPosition,Build target position (PointF),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,i,targetUnit,Target UnitInstance reference (am),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,j,buildState,Build state enum (c),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,k,isAssisting,Is assisting other builder (boolean),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,l,isRepairing,Is repairing unit (boolean),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,m,buildProgress,Build progress (float  -1=not building),verified-exists
field,com.corrodinggames.rts.game.units.d,BuilderUnit,n,buildTimer,Build timer accumulator (double),verified-exists
field,com.corrodinggames.rts.game.units.d,CommandCenter,a,commanderUnit,Commander unit reference (am),verified-exists
field,com.corrodinggames.rts.game.units.d,CommandCenter,b,selectionIndex,Selection group index (int),verified-exists
field,com.corrodinggames.rts.game.units.d,CommandCenter,c,lastCommandTick,Last command tick (int),verified-exists
field,com.corrodinggames.rts.game.units.d,CommandCenter,d,commandTimeout,Command timeout counter (int),verified-exists
field,com.corrodinggames.rts.game.units.d,CommandCenter,e,isActiveCmdCenter,Is active command center (boolean),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.d,ExperimentalUnit,a,experimentName,Experiment/upgrade name (String),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.d,ExperimentalUnit,b,costMultiplier,Cost multiplier (float),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.d,ExperimentalUnit,c,hpMultiplier,HP multiplier (float),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.d,ExperimentalUnit,d,damageMultiplier,Damage multiplier (float),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.d,UnitFactoryHelper,a,factoryReference,Factory unit reference (am),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.d,UnitFactoryHelper,b,queuePosition,Queue position index (int),verified-exists
field,com.corrodinggames.rts.game.units.d,UnitFactoryHelper,c,productionProgress,Production progress (float),verified-exists
method,com.corrodinggames.rts.game.units.d,a,K,getar,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,L,getstrictfp boolean,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,N,getArrayList,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,V,getstrictfp int,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,a,getstrictfp void,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,b,getstrictfp void,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,bJ,getstrictfp boolean,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,cm,getc,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,d,gete,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,k,gete,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,a,r,getas,real-class-inferred: com.corrodinggames.rts.game.units.d.a,real-class-v1200
method,com.corrodinggames.rts.game.units.d,b,K,getstrictfp float,real-class-inferred: com.corrodinggames.rts.game.units.d.b,real-class-v1200
method,com.corrodinggames.rts.game.units.d,b,L,getar,real-class-inferred: com.corrodinggames.rts.game.units.d.b,real-class-v1200
method,com.corrodinggames.rts.game.units.d,b,a,getString,real-class-inferred: com.corrodinggames.rts.game.units.d.b,real-class-v1200
method,com.corrodinggames.rts.game.units.d,b,c,getstrictfp int,real-class-inferred: com.corrodinggames.rts.game.units.d.b,real-class-v1200
method,com.corrodinggames.rts.game.units.d,b,f,gett,real-class-inferred: com.corrodinggames.rts.game.units.d.b,real-class-v1200
method,com.corrodinggames.rts.game.units.d,b,g,getstrictfp boolean,real-class-inferred: com.corrodinggames.rts.game.units.d.b,real-class-v1200
method,com.corrodinggames.rts.game.units.d,b,i,getas,real-class-inferred: com.corrodinggames.rts.game.units.d.b,real-class-v1200
method,com.corrodinggames.rts.game.units.d,c,a(am, float,""" game.f)""",calculateEffectValue
method,com.corrodinggames.rts.game.units.d,c,b(int, float),checkCondition | CommandSlot: boolean - check indexed condition,verified-exists
method,com.corrodinggames.rts.game.units.d,c,E,getPointF,real-class-inferred: com.corrodinggames.rts.game.units.d.c,real-class-v1200
method,com.corrodinggames.rts.game.units.d,c,E(int),getTurretPosition,CommandSlot: PointF - turret/attach point by index,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,K,getUnitRegistry,CommandSlot: returns UnitRegistry reference,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,L,isActionAvailable,CommandSlot: boolean - check if action can be used now,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,M,executeAction,CommandSlot: void - perform the configured action,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,N,getActionSlotList,CommandSlot: returns ArrayList of action slots,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,O,cancelAction,CommandSlot: void - cancel/abort current action,body-verified-v1300
field,com.corrodinggames.rts.game.units.d,c,a,buttonTextures,CommandSlot: static Texture[] pool for button icons,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,a(as),writeToStream,CommandSlot: serialize to network stream,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,a(d.j),setBuildingContext,CommandSlot: void - attach to Building reference,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,a(float),setAlpha,CommandSlot: set transparency for fade animation,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,a(game.f),isValidInContext,CommandSlot: boolean - action valid in current game state,body-verified-v1300
method,com.corrodinggames.rts.game.units.d,c,a(gameFramework.l),updateFromGlobalState,CommandSlot: boolean - tick update with GlobalState,body-verified-v1300
