type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,com.corrodinggames.rts.game.units.a,ActionWrapper,a,wrappedAction,Wrapped game action (GameAction),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.a,ActionWrapper,b,actionPriority,Action priority (int),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.a,ActionWrapper,c,actionCooldown,Action cooldown (float),unverifiable-rebuilt
field,com.corrodinggames.rts.game.units.a,BuildAction,a,buildTargetPos,Build target position (PointF),verified-exists
field,com.corrodinggames.rts.game.units.a,BuildAction,b,buildUnitType,Unit type to build (UnitTypeHandle),verified-exists
field,com.corrodinggames.rts.game.units.a,BuildAction,c,buildStages,Number of build stages (int),verified-exists
method,com.corrodinggames.rts.game.units.a,a,a(com.corrodinggames.rts.game.units.am, boolean),canExecute,verified-exists
method,com.corrodinggames.rts.game.units.a,a,C,isPassiveAction,UnitActionBase: GameAction: passive background action,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,K,getFirstSelectedUnit,UnitActionBase: GameAction: first selected UnitType,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,a,getDescription,UnitActionBase: GameAction: localized tooltip description,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,a(com.corrodinggames.rts.game.units.am),isAffordable,[V] modifier hook for GameAction.u(am)=isAffordable; default false (a.java:12),verified-exists
method,com.corrodinggames.rts.game.units.a,a,b,getLabel,UnitActionBase: GameAction: localized button label text,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,b(com.corrodinggames.rts.game.units.am),isVisible,[V] modifier hook for GameAction.g(am)=isFilterBlocked inverse; default false (a.java:16),verified-exists
method,com.corrodinggames.rts.game.units.a,a,c,getResourceCost,UnitActionBase: GameAction: returns ResourceComponent (cost to execute),type-aware-fp-v19.114
method,com.corrodinggames.rts.game.units.a,a,c(com.corrodinggames.rts.game.units.am),getDisabledReason,[V] modifier hook for GameAction.j(am)=getFilterBlockReason; default null (a.java:20),verified-exists
method,com.corrodinggames.rts.game.units.a,a,d,getDisplayString,UnitActionBase: GameAction: display string for current mode,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,d(com.corrodinggames.rts.game.units.am),isBlocked,[V] modifier hook for GameAction.a(am)=isAffordableSingle; default false (a.java:28),verified-exists
method,com.corrodinggames.rts.game.units.a,a,e,getActionCategory,UnitActionBase: GameAction: returns ActionCategory enum,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,f,getActionTargetType,UnitActionBase: GameAction: returns ActionTargetType enum,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,g,isInstantAction,UnitActionBase: GameAction: returns true if action completes instantly,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,h,isToggleable,UnitActionBase: GameAction: returns true if toggle-style command,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,h_,showActionInUI,UnitActionBase: GameAction: visible in action panel,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,i,getUnitTypeBridge,UnitActionBase: GameAction: synthetic bridge returning getUnitType(),batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,j,getTextureForAction,UnitActionBase: GameAction: action button icon texture,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,j_,getTexture,UnitActionBase: GameAction: alternative texture getter,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,l,getActionScale,UnitActionBase: GameAction: UI scale factor for action button,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,n,getUnitType,UnitActionBase: GameAction: associated unit type or null,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,o_,isAlwaysVisible,UnitActionBase: GameAction: always visible in action panel,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,a,s,isAvailableInCurrentGameState,UnitActionBase: GameAction: hidden in editor/spectator modes,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,C,isPassiveAction,ActionFilter: GameAction: passive background action,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,K,getFirstSelectedUnit,ActionFilter: GameAction: first selected UnitType,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,a,getDescription,ActionFilter: GameAction: localized tooltip description,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,b,getLabel,ActionFilter: GameAction: localized button label text,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,c,getResourceCost,ActionFilter: GameAction: returns ResourceComponent (cost to execute),batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,d,getDisplayString,ActionFilter: GameAction: display string for current mode,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,e,getActionCategory,ActionFilter: GameAction: returns ActionCategory enum,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,f,getActionTargetType,ActionFilter: GameAction: returns ActionTargetType enum,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,g,isInstantAction,ActionFilter: GameAction: returns true if action completes instantly,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,h,isToggleable,ActionFilter: GameAction: returns true if toggle-style command,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,h_,showActionInUI,ActionFilter: GameAction: visible in action panel,batch-inferred-v1200
method,com.corrodinggames.rts.game.units.a,b,i,getUnitTypeBridge,ActionFilter: GameAction: synthetic bridge returning getUnitType(),batch-inferred-v1200
