type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
method,com.corrodinggames.rts.game.a,a,a(float,float,o,verified-exists
method,com.corrodinggames.rts.game.a,a,b(com.corrodinggames.rts.game.units.am,float,"""float)""",canUnitReachPointLoose
method,com.corrodinggames.rts.game.a,a,c(float,float),findNearestZone | [V] 找离坐标最近的区域,verified-exists
method,com.corrodinggames.rts.game.a,a,T(),resetZones,[I] 区域系统重置,verified-exists
method,com.corrodinggames.rts.game.a,a,a(com.corrodinggames.rts.gameFramework.j.as),writeToStream,[V] 网络序列化输出,verified-exists
field,com.corrodinggames.rts.game.a,a,aA,buildingCount,Building count,verified-exists
field,com.corrodinggames.rts.game.a,a,aB,extractorCount,Extractor count,verified-exists
field,com.corrodinggames.rts.game.a,a,aC,factoryCount,Factory count,verified-exists
field,com.corrodinggames.rts.game.a,a,aD,builderCount,Builder unit count,verified-exists
field,com.corrodinggames.rts.game.a,a,aE,combatUnitCount,Combat unit count,verified-exists
field,com.corrodinggames.rts.game.a,a,aF,harvesterCount,Harvester count,verified-exists
field,com.corrodinggames.rts.game.a,a,aG,scoutCount,Scout unit count,verified-exists
field,com.corrodinggames.rts.game.a,a,aH,experimentalCount,Experimental unit count,verified-exists
field,com.corrodinggames.rts.game.a,a,aI,zoneIdCounter,[V] public int; 区域 ID 分配器 (AIStrategyNode 构造时 ++a2.aI),verified-exists
field,com.corrodinggames.rts.game.a,a,aJ,turtleFlag,[V] int; 缩壳模式标志位 (ae() 检查 bit0),verified-exists
field,com.corrodinggames.rts.game.a,a,aK,isHumanPlayer,[V] boolean; 该玩家是否为人类控制,verified-exists
field,com.corrodinggames.rts.game.a,a,aL,tier2Accum,[V] float; Tier2 累计器 (80ms 周期),verified-exists
field,com.corrodinggames.rts.game.a,a,aM,tier2Param,[V] float; Tier2 参数累计器,verified-exists
field,com.corrodinggames.rts.game.a,a,aN,tier3Accum,[V] float; Tier3 累计器 (250ms 周期),verified-exists
field,com.corrodinggames.rts.game.a,a,aO,tier3Param,[V] float; Tier3 参数累计器,verified-exists
field,com.corrodinggames.rts.game.a,a,aP,tier1Accum,"""[V] float; Tier1 累计器 (25ms 周期""",verified-exists
field,com.corrodinggames.rts.game.a,a,aQ,creditAccumulator,"""[V] float; 信用累计器""",verified-exists
field,com.corrodinggames.rts.game.a,a,aR,groupUpdateTimer,[V] float; 单位组更新倒计时,verified-exists
field,com.corrodinggames.rts.game.a,a,aS,groupUpdateAccum,[V] float; 单位组更新累计器,verified-exists
field,com.corrodinggames.rts.game.a,a,aT,forwardZoneTimer,[V] float; 前置区域创建倒计时,verified-exists
field,com.corrodinggames.rts.game.a,a,aU,resourceZoneTimer,[V] float; 资源区域创建倒计时,verified-exists
field,com.corrodinggames.rts.game.a,a,aV,recycleTimer,Recycle/reclaim timer,verified-exists
field,com.corrodinggames.rts.game.a,a,aW,repairTimer,[V] float; 修理调度倒计时,verified-exists
field,com.corrodinggames.rts.game.a,a,aX,aiDisabled,[V] public boolean; AI 全局禁用开关,verified-exists
field,com.corrodinggames.rts.game.a,a,aY,allowExpansion,[V] public boolean; 允许扩张 (tier3Update 决定单位归属),verified-exists
field,com.corrodinggames.rts.game.a,a,aZ,aiSleeping,[V] public boolean; AI 休眠 (无单位时置 true),verified-exists
method,com.corrodinggames.rts.game.a,a,ac(),shouldRushExpansion,[V] 难度3 或单位>300 时加速扩张 (forwardZoneTimer 加速 4x),verified-exists
method,com.corrodinggames.rts.game.a,a,ad(),isHardDifficulty,[V] 难度指数>=2,verified-exists
method,com.corrodinggames.rts.game.a,a,ae(),isTurtleEnabled,[V] turtleFlag bit0 检查 (缩壳模式),verified-exists
method,com.corrodinggames.rts.game.a,a,af(),isTurtleMode,[V] ae() 的别名,verified-exists
method,com.corrodinggames.rts.game.a,a,ag(),getDifficultyIndex,[V] 返回 difficultyIndex,verified-exists
method,com.corrodinggames.rts.game.a,a,ah(),isUnitLimitReached,[V] 全局单位数 > 3000,verified-exists
method,com.corrodinggames.rts.game.a,a,ai(),useTransportsOnThisMap,"""[V] 是否本图使用运输机 (路径检查""",verified-exists
method,com.corrodinggames.rts.game.a,a,aj(),useHoverTransportsOnThisMap,[V] 是否本图使用悬浮运输机 (ai() && waterPathExists),verified-exists
method,com.corrodinggames.rts.game.a,a,ak(),recountUnitCounts,[V] 重算 12 项统计计数 (air/factory/builder/combat/building/extractor/harvester/scout/land/water/experimental),verified-exists
method,com.corrodinggames.rts.game.a,a,al(),tickAllBehaviors,[V] 遍历 aiBehaviorList 调用 b(),verified-exists
method,com.corrodinggames.rts.game.a,a,am(),getMapCenter,[V] 返回地图中心点 (缓存到 centerPosition),verified-exists
method,com.corrodinggames.rts.game.a,a,an(),findBestResourcePool,[V] 随机选取一个资源池 (bL.A 随机),verified-exists
method,com.corrodinggames.rts.game.a,a,ao(),countUnitsNeedingTransport,[V] 统计所有组内 strandedUnits 总数,verified-exists
method,com.corrodinggames.rts.game.a,a,ap(),getZoneTypeList,[V] 返回区域类型定义列表,verified-exists
method,com.corrodinggames.rts.game.a,a,aq(),debugCheckZones,[I] 调试: 区域 ID 重叠检查 + 基地重叠计数 (n3>0 时日志),verified-exists
method,com.corrodinggames.rts.game.a,a,ar(),findForwardFactory,[V] 随机选取一个敌方工厂 (isHostile 单位),verified-exists
field,com.corrodinggames.rts.game.a,a,as,globalAIEnabled,[V] static boolean; incomeUpdate 入口检查 (as && l.B().bl),verified-exists
method,com.corrodinggames.rts.game.a,a,as(),findRandomEnemyUnit,[I] 随机选取一个敌方攻击单位 (tier3Update+findEnemy 过滤),verified-exists
field,com.corrodinggames.rts.game.a,a,at,maxUnits,[V] final int=3000; 单队最大单位数上限 (MAX_UNITS),verified-exists
method,com.corrodinggames.rts.game.a,a,at(),findRandomEnemyPosition,"""[I] 随机敌方单位位置 (PointF""",verified-exists
field,com.corrodinggames.rts.game.a,a,au,totalUnitCount,Total unit count,verified-exists
method,com.corrodinggames.rts.game.a,a,au(),countDefendingUnits,[I] 统计防御组单位总数 (aB.b() 且非 hostile),verified-exists
field,com.corrodinggames.rts.game.a,a,av,enemyUnitCount,Enemy unit count,verified-exists
method,com.corrodinggames.rts.game.a,a,av(),setupAI,[V] AI 初始化: 设定各层定时器初值、debugPaint、tick 行为,verified-exists
field,com.corrodinggames.rts.game.a,a,aw,forwardZoneCount,"""[V] int; 前置区域计数""",verified-exists
field,com.corrodinggames.rts.game.a,a,ax,landUnitCount,Land unit count,verified-exists
field,com.corrodinggames.rts.game.a,a,ay,waterUnitCount,Water unit count,verified-exists
field,com.corrodinggames.rts.game.a,a,az,airUnitCount,Air unit count,verified-exists
method,com.corrodinggames.rts.game.a,a,b(android.graphics.PointF),isBuildLocationValid,[I] private; 位置合法性: 与己方单位距离/敌单位计数检查,verified-exists
field,com.corrodinggames.rts.game.a,a,bA,harvesterUnits,[V] d; 采集者 UnitBuildStrategy,verified-exists
field,com.corrodinggames.rts.game.a,a,bB,extractorUnits,[V] d; 提取器 UnitBuildStrategy,verified-exists
field,com.corrodinggames.rts.game.a,a,bC,buildingFactories,[V] d; 工厂 UnitBuildStrategy,verified-exists
field,com.corrodinggames.rts.game.a,a,bD,buildingFactoriesForBuilders,[V] d; 建造者工厂 UnitBuildStrategy,verified-exists
field,com.corrodinggames.rts.game.a,a,bE,combatManager,[V] public c; 战斗计数缓存管理器,verified-exists
field,com.corrodinggames.rts.game.a,a,bF,difficultyIndex,[V] int; 难度指数 (ag() 读取),verified-exists
field,com.corrodinggames.rts.game.a,a,bG,updateCooldown,[V] public float; 主循环冷却 (剩余时间),verified-exists
field,com.corrodinggames.rts.game.a,a,bH,sortedZones,[V] ArrayList; 按优先级排序的区域列表,verified-exists
