type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,com.corrodinggames.rts.game.b,MapLayer,a,tilesetDef,Associated tileset definition (j),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,b,layerWidth,Layer width in tiles (int),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,c,layerHeight,Layer height in tiles (int, -2=unset)
field,com.corrodinggames.rts.game.b,MapLayer,d,layerOpacity,Layer opacity (short  -1=fully opaque),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,e,layerVisible,Layer visible flag (boolean),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,f,layerLocked,Layer locked flag (boolean),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,g,isObjectLayer,Is object/entity layer (boolean),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,h,isImageLayer,Is image layer (boolean),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,i,isTileLayer,Is tile layer (boolean),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,j,layerTypeByte,Layer type as byte enum,verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,k,hasProperties,Has custom properties (boolean),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,l,needsRedraw,Needs redraw flag (boolean),verified-exists
field,com.corrodinggames.rts.game.b,MapLayer,m,tileGrid,Tile grid data (g[]),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerDef,a,layerName,Layer name string,verified-exists
field,com.corrodinggames.rts.game.b,MapLayerDef,b,layerClass,Layer class/type string,verified-exists
field,com.corrodinggames.rts.game.b,MapLayerDef,c,offsetX,Layer offset X (float),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerDef,d,offsetY,Layer offset Y (float),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerDef,e,parallaxX,Parallax scroll X factor (float),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerDef,f,parallaxY,Parallax scroll Y factor (float),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerRenderer,a,mapEngine,Reference to MapEngine,verified-exists
field,com.corrodinggames.rts.game.b,MapLayerRenderer,b,renderWidth,Render width in pixels (int),unverifiable-rebuilt
field,com.corrodinggames.rts.game.b,MapLayerRenderer,c,renderHeight,Render height in pixels (int),unverifiable-rebuilt
field,com.corrodinggames.rts.game.b,MapLayerRenderer,d,offsetX,Render offset X (int),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerRenderer,e,offsetY,Render offset Y (int),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerRenderer,f,startTileX,First visible tile column (int),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerRenderer,g,startTileY,First visible tile row (int),verified-exists
field,com.corrodinggames.rts.game.b,MapLayerRenderer,h,endTileX,Last visible tile column (int),verified-exists
