type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,com.corrodinggames.rts.game,GameScreen,a,renderer,Game renderer reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,b,gameWorld,GameWorld reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,c,mapEngine,MapEngine reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,d,netEngine,NetEngine reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,e,globalState,GlobalState reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,f,inputHandler,Input handler reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,g,cameraController,Camera controller reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,h,uiController,UI controller reference,unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,i,isPaused,Paused state flag (boolean),unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameScreen,j,isExiting,Exiting state flag (boolean),unverifiable-rebuilt
field,com.corrodinggames.rts.game,GameSettings,A,dedicatedServerMode,Dedicated server mode flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,B,defaultCommand,Default command template (e=Command),verified-exists
field,com.corrodinggames.rts.game,GameSettings,C,secondaryCommand,Secondary command template (e),verified-exists
field,com.corrodinggames.rts.game,GameSettings,D,buildSpeedMultiplier,Build speed multiplier (float),verified-exists
field,com.corrodinggames.rts.game,GameSettings,E,unitSpeedMultiplier,Unit movement speed multiplier (float),verified-exists
field,com.corrodinggames.rts.game,GameSettings,F,attackDamageMultiplier,Attack damage multiplier (float),verified-exists
field,com.corrodinggames.rts.game,GameSettings,G,repairSpeedMultiplier,Repair speed multiplier (float),verified-exists
field,com.corrodinggames.rts.game,GameSettings,H,reclaimSpeedMultiplier,Reclaim speed multiplier (float),verified-exists
field,com.corrodinggames.rts.game,GameSettings,I,enableTriggerDebug,Enable trigger debug flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,J,enableAIDebug,Enable AI debug overlay flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,K,gameDurationLimit,Game duration limit minutes (float  -1=unlimited),verified-exists
field,com.corrodinggames.rts.game,GameSettings,a,defaultInstance,Default settings instance (static GameSettings),verified-exists
field,com.corrodinggames.rts.game,GameSettings,b,startingCredits,Starting credits amount (int),verified-exists
field,com.corrodinggames.rts.game,GameSettings,c,fogOfWarMode,Fog of war mode (int: 0=off 1=basic 2=los),verified-exists
field,com.corrodinggames.rts.game,GameSettings,d,teamsLocked,Teams locked flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,e,allowSpectators,Allow spectators flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,f,allowCheats,Allow cheats/debug mode flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,g,randomStartPositions,Random start positions flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,h,sharedResources,Team shared resources flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,i,defaultIncomeRate,Default income rate (int, default 35)
field,com.corrodinggames.rts.game,GameSettings,j,nukeCooldownTime,Nuke cooldown time seconds (float  -1=disabled),verified-exists
field,com.corrodinggames.rts.game,GameSettings,k,nukesEnabled,Nukes enabled flag (boolean, default false)
field,com.corrodinggames.rts.game,GameSettings,l,aiEnabled,AI players enabled flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,m,tournamentMode,Tournament/competitive mode flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,n,fogRevealAll,Reveal all fog flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,o,gameSpeed,Game speed multiplier (float, default 1.0)
field,com.corrodinggames.rts.game,GameSettings,p,freeForAllMode,Free-for-all mode flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,q,allowMidGameJoin,Allow mid-game join flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,r,unlockAllTech,Unlock all technology flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,s,noSupplyLimit,No supply/population limit flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,t,disableT2Upgrades,Disable T2 upgrades flag (boolean),verified-exists
field,com.corrodinggames.rts.game,GameSettings,u,startingCreditsFloat,Starting credits (float precision),verified-exists
