type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,com.corrodinggames.rts.gameFramework.a,h,A,soundBugDie,Bug death sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,B,soundBugAttack,Bug attack sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,C,soundNukeExplode,Nuke explosion sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,D,soundNukeLaunch,Nuke launch sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,E,soundLaserDeflect,Laser deflect sound 1 (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,F,soundLaserDeflect2,Laser deflect sound 2 (static i),suspicious-bc-missing
method,com.corrodinggames.rts.gameFramework.a,h,a,reset,real-class-inferred: com.corrodinggames.rts.gameFramework.a.h,real-class-v1200
field,com.corrodinggames.rts.gameFramework.a,h,b,soundDisabled,Sound disabled flag (boolean),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,c,soundFactory,Sound factory (static h = SoundFactory),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,d,soundAttack2,Attack sound variant 2 (static i = Sound),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,e,soundAttack,Attack sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,f,soundMove,Move order sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,g,soundClick,UI click sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,h,soundClickAdd,Unit add click sound (static i),verified-exists
field,com.corrodinggames.rts.gameFramework.a,h,i,soundClickRemove,Unit remove click sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,j,soundWarning,Warning alert sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,k,soundMessage,Message notification sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,l,soundInterfaceError,Interface error sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,m,soundMissileFire,Missile launch sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,n,soundMissileHit,Missile impact sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,o,soundUnitExplode,Unit explosion sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,p,soundBuildingExplode,Building explosion sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,q,soundTankFiring,Tank cannon firing sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,r,soundCannonFiring,Cannon firing sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,s,soundGunFire,Gun fire sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,t,soundFiring3,Weapon fire variant 3 (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,u,soundFiring4,Weapon fire variant 4 (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,v,soundLargeGunFire1,Large gun fire variant 1 (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,w,soundLargeGunFire2,Large gun fire variant 2 (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,x,soundLightningBurst,Lightning burst sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,y,soundPlasmaFire,Plasma fire sound (static i),suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,h,z,soundPlasmaFire2,Plasma fire variant 2 (static i),suspicious-bc-missing
method,com.corrodinggames.rts.gameFramework.a,i,a,get_a,"""[Phase3-method] returns boolean""",verified-exists
method,com.corrodinggames.rts.gameFramework.a,i,aG,do_aG,"""[Phase3-method] returns void""",suspicious-bc-missing
method,com.corrodinggames.rts.gameFramework.a,i,b,get_b,"""[Phase3-method] returns int""",suspicious-bc-missing
field,com.corrodinggames.rts.gameFramework.a,i,d,volumeGain,Volume gain multiplier (float, default 1.0)
field,com.corrodinggames.rts.gameFramework.a,i,e,filePath,Audio file path (String),verified-exists
field,com.corrodinggames.rts.gameFramework.a,i,f,isStreaming,Streaming audio flag (boolean),verified-exists
field,com.corrodinggames.rts.gameFramework.a,i,g,isLoaded,Audio loaded into memory (boolean),verified-exists
method,com.corrodinggames.rts.gameFramework.d,a,a,isEnabled,real-class-inferred: com.corrodinggames.rts.gameFramework.d.a,real-class-v1200
method,com.corrodinggames.rts.gameFramework.d,a,b,isEnabled,real-class-inferred: com.corrodinggames.rts.gameFramework.d.a,real-class-v1200
field,com.corrodinggames.rts.gameFramework.d,a,c,showHUD,HUD visible flag (boolean),verified-exists
method,com.corrodinggames.rts.gameFramework.d,a,d,reset,real-class-inferred: com.corrodinggames.rts.gameFramework.d.a,real-class-v1200
field,com.corrodinggames.rts.gameFramework.d,a,e,currentPlayer,Current player state (n),verified-exists
field,com.corrodinggames.rts.gameFramework.d,a,f,displayMode,HUD display mode (int, default 1)
