type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
method,com.corrodinggames.rts.game.units.custom,aa,a,getstrictfp long,real-class-inferred: com.corrodinggames.rts.game.units.custom.aa,real-class-v1200
field,com.corrodinggames.rts.game.units.custom,aa,b,maxCapacity,Maximum capacity (float),verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,a(com.corrodinggames.rts.game.units.custom.l, com.corrodinggames.rts.gameFramework.utility.ab, com.corrodinggames.rts.gameFramework.utility.ab | java.lang.String,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,b(com.corrodinggames.rts.game.units.custom.l, com.corrodinggames.rts.gameFramework.utility.ab, java.lang.String | java.lang.String,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,c(java.lang.String, java.lang.String,""" com.corrodinggames.rts.game.units.custom.l)""",loadIniFromMod
method,com.corrodinggames.rts.game.units.custom,ag,a,do_a,"""[Phase3-method] returns void""",verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,b,reloadAllMods,[U] b()->void; reload entry point,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,c,clearAllCaches,[U] c()->void; reset caches,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,d,reloadModDirs,[U] d()->void; rescan mod directories,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,e,clearModData,[U] e()->void; clear per-mod data (called after enableAll),verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,f,unloadModData,[U] f()->void; teardown mod data,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,g,reloadAllModsSync,[V] g()->void; synchronized(o){ o(); },verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,h,reloadAllTextures,"""[V] h()->void; resets i/j/l/k counters""",verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,i,dumpTimerStats,[V] i()->void; '==Timing==' + name: ms per timer,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,j,resetTimers,[V] j()->void; zeroes all timer accumulators,verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,k,getBuiltinModsDirName,[V] k()->String; returns 'builtin_mods',verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,l,getBuiltinModsEnabledFile,[V] l()->String; returns 'builtin_mods_enabled',verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,m,getModsDirectoryPath,[V] m()->String; '/SD/mods/units' or '/SD/rustedWarfare/units',verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,n,buildModList,[V] n()->void; iterates ar.values() + ModUnitRegistry.d (ag.java:502-511),verified-exists
method,com.corrodinggames.rts.game.units.custom,ag,o,doReloadModsInternal,"""[V] o()->void; clears l.g/l.f""", resets EffectConfig.e
field,com.corrodinggames.rts.game.units.custom,ag,p,modLoadProgressMin,[U] float default 50.0; assigned with q in reload (ag.java:546-547),verified-exists
field,com.corrodinggames.rts.game.units.custom,ag,q,modLoadProgressMax,[U] float default 50.0; paired with p,verified-exists
field,com.corrodinggames.rts.game.units.custom,ag,r,currentlyLoadingMod,[V] r = l2.bZ.c (ModInfo); log 'Loading units from mod: ' + b3.c,verified-exists
field,com.corrodinggames.rts.game.units.custom,ag,s,lastModLoadError,"""[V] s=null on success""",verified-exists
method,com.corrodinggames.rts.game.units.custom,aj,a,getString,real-class-inferred: com.corrodinggames.rts.game.units.custom.aj,real-class-v1200
field,com.corrodinggames.rts.game.units.custom,aj,b,effectName,Effect display name (LocalizedString),verified-exists
field,com.corrodinggames.rts.game.units.custom,aj,c,effectDuration,Effect duration seconds (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,aj,d,effectInterval,Effect tick interval (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,aj,e,effectScript,Effect LogicBoolean script,verified-exists
field,com.corrodinggames.rts.game.units.custom,aj,f,effectFlags,Effect behavior flags (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,aj,g,effectStackLimit,Max stack count (int),verified-exists
method,com.corrodinggames.rts.game.units.custom,as,a,getat,real-class-inferred: com.corrodinggames.rts.game.units.custom.as,real-class-v1200
method,com.corrodinggames.rts.game.units.custom,as,b,getas,real-class-inferred: com.corrodinggames.rts.game.units.custom.as,real-class-v1200
field,com.corrodinggames.rts.game.units.custom,as,c,targetFilter,Target filter type (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,d,minAttackRange,Minimum attack range (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,e,damageMultiplier,Damage multiplier (float, default 1.0)
field,com.corrodinggames.rts.game.units.custom,as,f,reloadMultiplier,Reload speed multiplier (float, default 1.0)
field,com.corrodinggames.rts.game.units.custom,as,g,bulletCount,Bullets per shot (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,h,aimingTime,Aiming/charge time (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,i,cooldownTime,Cooldown between shots (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,j,muzzleVelocity,Muzzle exit velocity (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,k,recoilForce,Recoil force applied (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,l,turretTraverseSpeed,Turret traverse speed (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,m,requiresManualFire,Requires manual fire command (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,n,ammoPerBurst,Ammo consumed per burst (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,o,maxAmmoCount,Maximum ammo capacity (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,p,accuracySpread,Accuracy spread angle (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,q,projectileGravity,Projectile gravity effect (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,as,r,targetLeadTime,Target leading prediction time (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,av,a,barColorNormal,Normal bar color (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,av,b,barColorDamaged,Damaged bar color (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,av,c,barColorCritical,Critical bar color (int),verified-exists
field,com.corrodinggames.rts.game.units.custom,b,a,frameTime,Time position in animation (float),suspicious-bc-missing
field,com.corrodinggames.rts.game.units.custom,b,b,valueX,Keyframe X value (float),suspicious-bc-missing
field,com.corrodinggames.rts.game.units.custom,b,c,valueY,Keyframe Y value (float),suspicious-bc-missing
field,com.corrodinggames.rts.game.units.custom,b,d,interpolation,Interpolation type enum (int),suspicious-bc-missing
field,com.corrodinggames.rts.game.units.custom,ba,A,ammoCapacity,Ammo capacity (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,B,ammoResourceType,Ammo resource type (e),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,C,producedResources,Resources produced on hit (e[]),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,D,damageResourceType,Resource type damaged (e),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,E,isGuidedProjectile,Projectile is guided (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,F,canMoveTarget,Can target moving units (boolean, default true)
field,com.corrodinggames.rts.game.units.custom,ba,G,canAttackGround,Can attack ground units (boolean, default true)
field,com.corrodinggames.rts.game.units.custom,ba,H,isInterceptable,Projectile can be intercepted (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,I,canAttackAir,Can attack air units (boolean, default true)
field,com.corrodinggames.rts.game.units.custom,ba,J,canAttackWater,Can attack water units (boolean, default true)
field,com.corrodinggames.rts.game.units.custom,ba,K,maxProjectileSpeed,Max projectile speed (float, default 7.0)
field,com.corrodinggames.rts.game.units.custom,ba,L,burstCount,Shots per burst (int, default 3)
field,com.corrodinggames.rts.game.units.custom,ba,M,allowRetaliation,Allow retaliation when hit (boolean, default true)
field,com.corrodinggames.rts.game.units.custom,ba,N,turnRadiusMin,Minimum turn radius (float, default 16.0)
field,com.corrodinggames.rts.game.units.custom,ba,O,engageRangeMax,Maximum engagement range (float, default 50.0)
field,com.corrodinggames.rts.game.units.custom,ba,P,prefersStationaryTarget,Prefers stationary targets (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,Q,forceFireAtGround,Force fire at ground position (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,R,minEngageRange,Minimum engagement range (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,S,targetPriorities,Target priority weights (int[]),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,T,priorityWeight,Overall priority weight (float),verified-exists
method,com.corrodinggames.rts.game.units.custom,ba,a,reset,real-class-inferred: com.corrodinggames.rts.game.units.custom.ba,real-class-v1200
field,com.corrodinggames.rts.game.units.custom,ba,aimOffsetSpread,aimOffsetSpread,"""INI-verified: appears 4x in sections attack","turret_1"""
field,com.corrodinggames.rts.game.units.custom,ba,b,weaponName,Weapon display name (String),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,c,isEnabled,Weapon enabled flag (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,canAttack,canAttack,INI-verified: appears 105x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,canAttackFlyingUnits,canAttackFlyingUnits,"""INI-verified: appears 140x in sections attack",turret_1
field,com.corrodinggames.rts.game.units.custom,ba,canAttackLandUnits,canAttackLandUnits,"""INI-verified: appears 141x in sections attack",turret_1
field,com.corrodinggames.rts.game.units.custom,ba,canAttackNotTouchingWaterUnits,canAttackNotTouchingWaterUnits,"""INI-verified: appears 10x in sections attack",turret_1
field,com.corrodinggames.rts.game.units.custom,ba,canAttackUnderwaterUnits,canAttackUnderwaterUnits,"""INI-verified: appears 136x in sections attack",turret_1
field,com.corrodinggames.rts.game.units.custom,ba,d,damageMin,Minimum damage per hit (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,e,damageMax,Maximum damage per hit (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,f,splashRadius,Splash/AoE radius (float, default 2.0)
field,com.corrodinggames.rts.game.units.custom,ba,g,splashDamageMultiplier,Splash damage multiplier (float, default 0.0)
field,com.corrodinggames.rts.game.units.custom,ba,h,canDamageSelf,Can damage own units (boolean, default true)
field,com.corrodinggames.rts.game.units.custom,ba,i,rangeMin,Minimum attack range (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,isFixedFiring,isFixedFiring,INI-verified: appears 21x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,isMelee,isMelee,INI-verified: appears 7x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,j,rangeMax,Maximum attack range (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,k,optimalRange,Optimal engagement range (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,l,isHoming,Projectile has homing/tracking (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,m,projectileSpeed,Projectile travel speed (float, default 1.0)
field,com.corrodinggames.rts.game.units.custom,ba,maxAttackRange,maxAttackRange,INI-verified: appears 92x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,n,canFireWhileMoving,Can fire while moving (boolean, default true)
field,com.corrodinggames.rts.game.units.custom,ba,o,requiresFullStop,Requires full stop to fire (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,p,fireThroughAllies,Can fire through allied units (boolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,q,fireCondition,LogicBoolean condition for firing (LogicBoolean),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,r,damageMultiplier,Global damage multiplier (float, default 1.0)
field,com.corrodinggames.rts.game.units.custom,ba,s,reloadTime,Reload/cooldown time (float, default 1.0)
field,com.corrodinggames.rts.game.units.custom,ba,shootDelay,shootDelay,INI-verified: appears 93x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,t,burstDelay,Burst fire interval (float),verified-exists
field,com.corrodinggames.rts.game.units.custom,ba,turretMultiTargeting,turretMultiTargeting,INI-verified: appears 9x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,turretRotateWithBody,turretRotateWithBody,INI-verified: appears 26x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,turretSize,turretSize,INI-verified: appears 88x in sections attack,ini-verified-v16
field,com.corrodinggames.rts.game.units.custom,ba,turretTurnSpeed,turretTurnSpeed,INI-verified: appears 87x in sections attack,ini-verified-v16
