type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,com.corrodinggames.rts.game.units.f,CircleFilter,a,boundsRect,Bounding rectangle (RectF),verified-exists
field,com.corrodinggames.rts.game.units.f,CircleFilter,b,centerX,Circle center X (float),verified-exists
field,com.corrodinggames.rts.game.units.f,CircleFilter,c,centerY,Circle center Y (float),verified-exists
field,com.corrodinggames.rts.game.units.f,CircleFilter,d,radius,Circle radius (float),verified-exists
field,com.corrodinggames.rts.game.units.f,CircleFilter,e,radiusSquared,Circle radius squared (float),verified-exists
field,com.corrodinggames.rts.game.units.f,LineFilter,a,boundsRect,Bounding rectangle (RectF),verified-exists
field,com.corrodinggames.rts.game.units.f,LineFilter,b,startX,Line start X (float),verified-exists
field,com.corrodinggames.rts.game.units.f,LineFilter,c,startY,Line start Y (float),verified-exists
field,com.corrodinggames.rts.game.units.f,LineFilter,d,endX,Line end X (float),verified-exists
field,com.corrodinggames.rts.game.units.f,LineFilter,e,endY,Line end Y (float),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,a,boundsRect,Bounding rectangle (RectF),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,b,minX,Minimum X bound (float),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,c,minY,Minimum Y bound (float),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,d,maxX,Maximum X bound (float),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,e,maxY,Maximum Y bound (float),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,f,expandX,X-axis expansion (float),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,g,expandY,Y-axis expansion (float),verified-exists
field,com.corrodinggames.rts.game.units.f,RectFilter,h,resultCount,Query result count (float),verified-exists
field,com.corrodinggames.rts.game.units.f,SpatialGridCell,a,unitListA,Unit list A (final b),verified-exists
field,com.corrodinggames.rts.game.units.f,SpatialGridCell,b,unitListByCategory,Unit lists by category (final b[]),verified-exists
field,com.corrodinggames.rts.game.units.f,SpatialGridCell,c,unitListAll,All units list (final b),verified-exists
field,com.corrodinggames.rts.game.units.f,SpatialGridCell,d,unitListDynamic,Dynamic units list (final b),verified-exists
method,com.corrodinggames.rts.game.units.f,f,a,reset,real-class-inferred: com.corrodinggames.rts.game.units.f.f,real-class-v1200
method,com.corrodinggames.rts.game.units.f,g,a,isEnabled,real-class-inferred: com.corrodinggames.rts.game.units.f.g,real-class-v1200
field,com.corrodinggames.rts.gameFramework.k,AStarNode,a,tileX,Tile X coordinate (int),verified-exists
field,com.corrodinggames.rts.gameFramework.k,AStarNode,b,tileY,Tile Y coordinate (int),verified-exists
field,com.corrodinggames.rts.gameFramework.k,AStarNode,c,gScore,G score value (int),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathFinder,e,pathSolver,Path solver reference (static f),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathFinder,m,useCache,Use path cache (static final boolean),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathFinder,n,cacheEnabled,Cache enabled flag (boolean, default true)
field,com.corrodinggames.rts.gameFramework.k,PathFinder,w,debugPaint,Debug drawing paint (Paint),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathFinder,x,landSolver,Land path solver (i),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathFinder,y,waterSolver,Water path solver (i),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathFinder,z,airSolver,Air path solver (i),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathSolverRunner,b,blockedLandGrid,Blocked land grid (byte[]),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathSolverRunner,c,blockedWaterGrid,Blocked water grid (byte[]),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathSolverRunner,d,blockedAirGrid,Blocked air grid (byte[]),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathSolverRunner,e,cachedResult,Cached path result (short[]),verified-exists
field,com.corrodinggames.rts.gameFramework.k,PathSolverRunner,f,costGrid,Movement cost grid (byte[]),verified-exists
field,com.corrodinggames.rts.gameFramework.k,UnitListIterator,b,categoryIndex,Category index (private int),verified-exists
field,com.corrodinggames.rts.gameFramework.k,UnitListIterator,c,unitIndex,Unit index within category (private int),verified-exists
field,com.corrodinggames.rts.gameFramework.k,UnitListIterator,d,totalUnits,Total unit count (private int),verified-exists
field,com.corrodinggames.rts.gameFramework.k,f,A,field_A,"P3.1-inferred: type=boolean, was=flag0",p3-auto-inferred
