type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
method,android.net.http,b,a,reset,real-class-inferred: android.net.http.b,real-class-v1200
field,android.net.http,b,b,int,real-class-inferred: android.net.http.b,real-class-v1200
field,com.corrodinggames.librocket,a$2,a,syncLock,Phase3-inferred: new k(false) synchronization object (gameFramework.utility.k),verified-exists
field,com.corrodinggames.librocket,a$2,b,scriptEngine,Phase3-inferred: captured ScriptEngine (librocket.scripts),verified-exists
field,com.corrodinggames.librocket,a$2,c,joinQuestion,"""Phase3-inferred: captured j.ae data (b=question msg""", e=title
field,com.corrodinggames.librocket,a$2,d,outerContext,Phase3-inferred: synthetic outer ref to a (LibRocketContext),verified-exists
method,com.corrodinggames.librocket,a$2,run,run,already meaningful (Runnable) - builds 'Password Required'/'Server Question' modal with Join/Close,verified-exists
method,com.corrodinggames.librocket,c,a,isEnabled,real-class-inferred: com.corrodinggames.librocket.c,real-class-v1200
field,com.corrodinggames.librocket,d,a,elementDocument,real-class-inferred: com.corrodinggames.librocket.d,real-class-v1200
field,com.corrodinggames.librocket,d,b,string1,real-class-inferred: com.corrodinggames.librocket.d,real-class-v1200
field,com.corrodinggames.librocket,d,c,string2,real-class-inferred: com.corrodinggames.librocket.d,real-class-v1200
field,com.corrodinggames.librocket,d,d,string3,real-class-inferred: com.corrodinggames.librocket.d,real-class-v1200
field,com.corrodinggames.librocket,d,e,object1,real-class-inferred: com.corrodinggames.librocket.d,real-class-v1200
field,com.corrodinggames.librocket,d,f,object2,real-class-inferred: com.corrodinggames.librocket.d,real-class-v1200
field,com.corrodinggames.librocket,e,a,string,real-class-inferred: com.corrodinggames.librocket.e,real-class-v1200
field,com.corrodinggames.librocket,e,b,runnable,real-class-inferred: com.corrodinggames.librocket.e,real-class-v1200
field,com.corrodinggames.rts.appFramework,AndroidUIHelper,a,activity,Activity reference (Activity),verified-exists
field,com.corrodinggames.rts.appFramework,AndroidUIHelper,b,dialogHelper,Dialog helper reference,verified-exists
field,com.corrodinggames.rts.appFramework,AndroidUIHelper,c,toastQueue,Toast message queue,verified-exists
field,com.corrodinggames.rts.appFramework,AndroidUIHelper,d,lastToastTime,Last toast display time (long),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,a,activePointers,Active pointer IDs (int[]),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,b,pointerX,Pointer X coordinates (float[]),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,c,pointerY,Pointer Y coordinates (float[]),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,d,pointerDownX,Pointer initial down X (float[]),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,e,pointerDownY,Pointer initial down Y (float[]),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,f,pointerDownTime,Pointer down timestamp (long[]),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,g,pointerState,Pointer state flags (int[]),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,h,maxPointers,Max simultaneous pointers (int),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,i,activePointerCount,Currently active pointer count (int),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,j,lastTouchX,Last single-touch X (float),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,k,lastTouchY,Last single-touch Y (float),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,l,lastTouchTime,Last touch timestamp (long),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,m,gestureDetector,Gesture/tap detector reference (Object),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,n,doubleTapActive,Double-tap detected flag (boolean),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,o,pinchDistance,Pinch/zoom current distance (float),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,p,pinchStartDistance,Pinch/zoom start distance (float),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,q,pinchActive,Pinch/zoom gesture active (boolean),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,r,scrollVelocityX,Scroll velocity X (float),verified-exists
field,com.corrodinggames.rts.appFramework,MultiTouchHandler,s,scrollVelocityY,Scroll velocity Y (float),unverifiable-rebuilt
field,com.corrodinggames.rts.appFramework,TouchState,a,activePointer,Current active pointer index (private int),verified-exists
field,com.corrodinggames.rts.appFramework,TouchState,b,touchAreaX,Touch area X coordinates per pointer (private float[10]),verified-exists
field,com.corrodinggames.rts.appFramework,TouchState,c,touchAreaY,Touch area Y coordinates per pointer (private float[10]),verified-exists
field,com.corrodinggames.rts.appFramework,TouchState,d,lastPointerX,Last known X per pointer (private float[10]),verified-exists
field,com.corrodinggames.rts.appFramework,TouchState,e,lastPointerId,Last pointer IDs (private int[10]),verified-exists
field,com.corrodinggames.rts.appFramework,TouchState,f,downStartX,Touch-down start X (private float),verified-exists
field,com.corrodinggames.rts.appFramework,TouchState,g,downStartY,Touch-down start Y (private float),verified-exists
field,com.corrodinggames.rts.appFramework,TouchState,h,currentX,Current touch X (private float),verified-exists
