type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,com.corrodinggames.rts.gameFramework,BackgroundWriter,a,writeQueue,Write queue (ConcurrentLinkedQueue),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,BackgroundWriter,b,writerThread,Writer background thread (Thread),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,DataBlock,h,blockIndex,Block index (int),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,DataBlock,i,dataLength,Data length (int),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,DataBlock,j,timeStamp,Timestamp value (float),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,DataBlock,k,dataValue,Data value (float),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,ExtraManager,b,extraCount,Extra feature count (int),verified-exists
field,com.corrodinggames.rts.gameFramework,ExtraManager,c,maxExtras,Max extras constant (static int=40),verified-exists
field,com.corrodinggames.rts.gameFramework,ExtraManager,d,enabledCount,Enabled features count (int),verified-exists
field,com.corrodinggames.rts.gameFramework,FrameCounter,a,frameTimes,Frame time array (long[]),verified-exists
field,com.corrodinggames.rts.gameFramework,FrameCounter,b,frameDurations,Frame duration array (long[]),verified-exists
field,com.corrodinggames.rts.gameFramework,FrameCounter,c,fpsValues,FPS values array (float[]),verified-exists
field,com.corrodinggames.rts.gameFramework,FrameCounter,d,updateTimes,Update time array (long[]),verified-exists
field,com.corrodinggames.rts.gameFramework,FrameCounter,e,renderTimes,Render time array (long[]),verified-exists
field,com.corrodinggames.rts.gameFramework,GameRenderer,a,rendererInstance,Renderer singleton (static aq),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,GameRenderer,s,useVSync,Use VSync flag (boolean),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,GameRenderer,t,rendererName,Renderer name (String),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,GameRenderer,u,renderToScreen,Render to screen flag (boolean),unverifiable-rebuilt
field,com.corrodinggames.rts.gameFramework,GameUtils,a,randomInstance,Random number generator (static Random),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,b,gameTickCounter,Game tick counter (static int),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,c,frameDeltaTime,Frame delta time (static float),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,d,screenWidth,Screen width (static int),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,e,screenHeight,Screen height (static int),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,f,tempPoint,Temporary Point (static Point),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,g,tempPointF,Temporary PointF (static PointF),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,h,tempRect,Temporary Rect (static Rect),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,i,tempRectF,Temporary RectF (static RectF),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,j,collisionPoint,Cached collision PointF (static PointF),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,k,segmentCount,Segment count for line ops (static int),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,l,tempArray,Temporary float array (static float[]),verified-exists
field,com.corrodinggames.rts.gameFramework,GameUtils,m,tempArray2,Temporary float array 2 (static float[]),verified-exists
field,com.corrodinggames.rts.gameFramework,KeyBinding,a,bindingName,Binding display name (String),verified-exists
field,com.corrodinggames.rts.gameFramework,KeyBinding,b,isActive,Binding active flag (boolean),verified-exists
field,com.corrodinggames.rts.gameFramework,KeyBinding,c,keyCodes,Assigned key codes (ArrayList),verified-exists
field,com.corrodinggames.rts.gameFramework,KeyBinding,d,mouseButtons,Assigned mouse buttons (ArrayList),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,aiDifficulty,aiDifficulty,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,allowGameRecording,allowGameRecording,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,androidNoSoundPrioritiesDebug,androidNoSoundPrioritiesDebug,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,autosaving,autosaving,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,banTimeInSecondsAfterKick,banTimeInSecondsAfterKick,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,batterySaving,batterySaving,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,classicInterface,classicInterface,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,disableDigitGrouping,disableDigitGrouping,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,disableModLazyLoad,disableModLazyLoad,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,displayOverCutout,displayOverCutout,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,doubleClickToAttackMove,doubleClickToAttackMove,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,dpad,dpad,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
field,com.corrodinggames.rts.gameFramework,SettingsEngine,edgeScrollSpeed,edgeScrollSpeed,Phase3: name verified from 02-decompiled SettingsEngine.java (obfuscated 2-char name unrecoverable - jar rebuilt; field name doubles as prefs key and was never obfuscated),verified-exists
