fqn,group,status,project_name,fwd_value_count,supplement_members,note
android.app.Activity,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.app.Application,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.app.Application$ActivityLifecycleCallbacks,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.app.Application$OnProvideAssistDataListener,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.content.Context,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.content.ContextWrapper,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.content.ServerContext,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.content.res.AssetManager,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.content.res.AssetManager$AssetInputStream,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Bitmap,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Bitmap$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Bitmap$CompressFormat,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Bitmap$Config,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Canvas,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Canvas$EdgeType,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Canvas$VertexMode,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Color,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.ColorFilter,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.LightingColorFilter,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Matrix,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Matrix$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Matrix$ScaleToFit,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Paint,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Paint$Align,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Paint$Cap,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Paint$FontMetrics,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Paint$FontMetricsInt,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Paint$Join,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Paint$Style,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Point,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Point$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.PointF,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.PorterDuffColorFilter,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.PorterDuffXfermode,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Rect,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.RectF,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.RectF$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.TemporaryBuffer,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Typeface,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.graphics.Xfermode,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.net.http.AndroidHttpClient,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.net.http.AndroidHttpClient$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.net.http.AndroidHttpClient$2,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.net.http.Headers,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.net.http.Headers$HeaderCallback,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.Handler,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.Handler$Callback,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.IMessenger,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.IMessenger$Stub,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.Looper,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.Message,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.Message$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.MessageQueue,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.MessageQueue$IdleHandler,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.os.SystemClock,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.support.v4.app.ActivityCompat,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.support.v4.content.ContextCompat,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.util.Log,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.util.Log$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.util.Log$TerribleFailureHandler,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.util.SparseArray,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.view.KeyEvent,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.view.KeyEvent$1,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.view.KeyEvent$Callback,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
android.view.KeyEvent$DispatcherState,semantic,MISSING,,0,0,03无同名文件 — 真实缺口
com.Element,semantic,IDENTITY,,0,0,03: com/Element.java
com.ElementDocument,semantic,IDENTITY,,0,0,03: com/ElementDocument.java
com.ElementList,semantic,IDENTITY,,0,0,03: com/ElementList.java
com.LibRocket,semantic,IDENTITY,,0,0,03: com/LibRocket.java
com.LibRocket$CompiledGeometry,semantic,IDENTITY,,0,0,03: com/LibRocket$CompiledGeometry.java
com.LibRocket$TextureHolder,semantic,IDENTITY,,0,0,03: com/LibRocket$TextureHolder.java
com.codedisaster.steamworks.SteamAPI,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAPI.java
com.codedisaster.steamworks.SteamAPICall,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAPICall.java
