jar_fqn,status,file_03
a.a.a,semantic-hit,network/reliableudp/DataReceiver.java
a.a.a.a,semantic-hit,network/reliableudp/core/AckPacket.java
a.a.a.b,semantic-hit,network/reliableudp/core/DataPacket.java
a.a.a.c,semantic-hit,network/reliableudp/core/ExtendedAckPacket.java
a.a.a.d,semantic-hit,network/reliableudp/core/FinPacket.java
a.a.a.e,semantic-hit,network/reliableudp/core/NullPacket.java
a.a.a.f,semantic-hit,network/reliableudp/core/ResetPacket.java
a.a.a.g,semantic-hit,network/reliableudp/core/SynPacket.java
a.a.a.h,semantic-hit,network/reliableudp/core/Packet.java
a.a.a.i,semantic-hit,network/reliableudp/core/TaskRunner.java
a.a.b,semantic-hit,network/reliableudp/ReliableServerSocket.java
a.a.b$1,semantic-hit,network/reliableudp/ReliableServerSocket$1.java
a.a.c,semantic-hit,network/reliableudp/AddressFilter.java
a.a.d,semantic-hit,network/reliableudp/ReliableServerThread.java
a.a.e,semantic-hit,network/reliableudp/ReliableClientSocket.java
a.a.f,semantic-hit,network/reliableudp/ServerConnectionListener.java
a.a.g,semantic-hit,network/reliableudp/ConnectionEntry.java
a.a.h,semantic-hit,network/reliableudp/ReliableSocket.java
a.a.h$1,semantic-hit,network/reliableudp/ReliableSocket$1.java
a.a.i,semantic-hit,network/reliableudp/SocketStats.java
a.a.j,semantic-hit,network/reliableudp/SocketInitTask.java
a.a.k,semantic-hit,network/reliableudp/SocketStartTask.java
a.a.l,semantic-hit,network/reliableudp/NullPacketSender.java
a.a.m,semantic-hit,network/reliableudp/ReliableSocketThread.java
a.a.n,semantic-hit,network/reliableudp/PacketSender.java
a.a.o,semantic-hit,network/reliableudp/ReliableInputStream.java
a.a.p,semantic-hit,network/reliableudp/SocketLifecycle.java
a.a.q,semantic-hit,network/reliableudp/ReliableOutputStream.java
a.a.r,semantic-hit,network/reliableudp/ReliableProfile.java
a.a.s,semantic-hit,network/reliableudp/ConnectionEventHandler.java
android.app.Activity,third-party,
android.app.Application,third-party,
android.app.Application$ActivityLifecycleCallbacks,third-party,
android.app.Application$OnProvideAssistDataListener,third-party,
android.content.Context,third-party,
android.content.ContextWrapper,third-party,
android.content.ServerContext,third-party,
android.content.res.AssetManager,third-party,
android.content.res.AssetManager$AssetInputStream,third-party,
android.graphics.Bitmap,third-party,
android.graphics.Bitmap$1,third-party,
android.graphics.Bitmap$CompressFormat,third-party,
android.graphics.Bitmap$Config,third-party,
android.graphics.Canvas,third-party,
android.graphics.Canvas$EdgeType,third-party,
android.graphics.Canvas$VertexMode,third-party,
android.graphics.Color,third-party,
android.graphics.ColorFilter,third-party,
android.graphics.LightingColorFilter,third-party,
android.graphics.Matrix,third-party,
android.graphics.Matrix$1,third-party,
android.graphics.Matrix$ScaleToFit,third-party,
android.graphics.Paint,third-party,
android.graphics.Paint$Align,third-party,
android.graphics.Paint$Cap,third-party,
android.graphics.Paint$FontMetrics,third-party,
android.graphics.Paint$FontMetricsInt,third-party,
android.graphics.Paint$Join,third-party,
android.graphics.Paint$Style,third-party,
android.graphics.Point,third-party,
android.graphics.Point$1,third-party,
android.graphics.PointF,third-party,
android.graphics.PorterDuffColorFilter,third-party,
android.graphics.PorterDuffXfermode,third-party,
android.graphics.Rect,third-party,
android.graphics.RectF,third-party,
android.graphics.RectF$1,third-party,
android.graphics.TemporaryBuffer,third-party,
android.graphics.Typeface,third-party,
android.graphics.Xfermode,third-party,
android.net.http.AndroidHttpClient,third-party,
android.net.http.AndroidHttpClient$1,third-party,
android.net.http.AndroidHttpClient$2,third-party,
android.net.http.Headers,third-party,
android.net.http.Headers$HeaderCallback,third-party,
android.net.http.a,third-party,
android.net.http.b,third-party,
android.os.Handler,third-party,
android.os.Handler$Callback,third-party,
android.os.IMessenger,third-party,
android.os.IMessenger$Stub,third-party,
android.os.Looper,third-party,
android.os.Message,third-party,
android.os.Message$1,third-party,
android.os.MessageQueue,third-party,
android.os.MessageQueue$IdleHandler,third-party,
android.os.SystemClock,third-party,
android.support.v4.app.ActivityCompat,third-party,
android.support.v4.content.ContextCompat,third-party,
android.util.Log,third-party,
android.util.Log$1,third-party,
