obfuscated_package,obfuscated_class,status,notes
com.a.a.a,a,unmapped,
com.corrodinggames.librocket,a,unmapped,
com.corrodinggames.librocket,b,unmapped,
com.corrodinggames.librocket,c,unmapped,
com.corrodinggames.librocket,d,unmapped,
com.corrodinggames.librocket,e,unmapped,
com.corrodinggames.rts,R,unmapped,
com.corrodinggames.rts.a,b,unmapped,
com.corrodinggames.rts.a.a,g,unmapped,
com.corrodinggames.rts.a.a,h,unmapped,
com.corrodinggames.rts.a.a,j,unmapped,
com.corrodinggames.rts.appFramework,f,unmapped,
com.corrodinggames.rts.appFramework,o,unmapped,
com.corrodinggames.rts.appFramework,p,unmapped,
com.corrodinggames.rts.appFramework,q,unmapped,
com.corrodinggames.rts.appFramework,s,unmapped,
com.corrodinggames.rts.game,p,unmapped,
com.corrodinggames.rts.game,s,unmapped,
com.corrodinggames.rts.game,t,unmapped,
com.corrodinggames.rts.game.a,b,unmapped,
com.corrodinggames.rts.game.a,e,unmapped,
com.corrodinggames.rts.game.b,g,unmapped,
com.corrodinggames.rts.game.units,at,unmapped,
com.corrodinggames.rts.game.units,av,unmapped,
com.corrodinggames.rts.game.units,d,unmapped,
com.corrodinggames.rts.game.units,i,unmapped,
com.corrodinggames.rts.game.units.custom,aa,unmapped,
com.corrodinggames.rts.game.units.custom,ab,unmapped,
com.corrodinggames.rts.game.units.custom,ac,unmapped,
com.corrodinggames.rts.game.units.custom,ad,unmapped,
com.corrodinggames.rts.game.units.custom,ae,unmapped,
com.corrodinggames.rts.game.units.custom,af,unmapped,
com.corrodinggames.rts.game.units.custom,ah,unmapped,
com.corrodinggames.rts.game.units.custom,ai,unmapped,
com.corrodinggames.rts.game.units.custom,aj,unmapped,
com.corrodinggames.rts.game.units.custom,ak,unmapped,
com.corrodinggames.rts.game.units.custom,al,unmapped,
com.corrodinggames.rts.game.units.custom,am,unmapped,
com.corrodinggames.rts.game.units.custom,an,unmapped,
com.corrodinggames.rts.game.units.custom,ao,unmapped,
