frame,team,action,argCount,stopOrUndo,waypoint,attackMode,hasStepRate
0,255,-1,0,False,,-1,True
0,3,-1,1,False,True,-1,
0,8,-1,1,False,True,-1,
0,6,-1,1,False,True,-1,
0,3,-1,1,False,True,-1,
0,0,-1,1,False,True,-1,
0,2,-1,1,False,True,-1,
0,6,-1,1,False,True,-1,
0,5,-1,1,False,True,-1,
0,8,-1,1,False,,-1,
0,8,-1,1,False,,-1,
0,3,-1,1,False,,-1,
0,2,-1,1,False,,-1,
0,1,-1,1,False,True,-1,
0,8,-1,1,False,,-1,
0,2,-1,1,False,,-1,
0,3,-1,1,False,,-1,
0,9,-1,1,False,True,-1,
0,6,-1,1,False,,-1,
0,0,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,3,-1,1,False,,-1,
0,5,-1,1,False,,-1,
0,7,-1,1,False,True,-1,
0,0,-1,1,False,,-1,
0,2,-1,1,False,True,-1,
0,4,-1,1,False,True,-1,
0,0,-1,1,False,,-1,
0,1,-1,1,False,,-1,
0,0,-1,1,False,,-1,
0,6,-1,1,False,,-1,
0,7,-1,1,False,,-1,
0,1,-1,1,False,,-1,
0,3,-1,1,False,,-1,
0,4,-1,1,False,,-1,
0,7,-1,1,False,,-1,
0,4,-1,1,False,,-1,
0,5,-1,1,False,,-1,
0,9,-1,1,False,,-1,
0,9,-1,1,False,,-1,
0,1,-1,1,False,,-1,
0,5,-1,1,False,,-1,
0,9,-1,1,False,,-1,
0,1,-1,1,False,True,-1,
0,8,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,6,-1,1,False,,-1,
0,9,-1,1,False,True,-1,
0,0,-1,1,False,,-1,
0,9,-1,1,False,True,-1,
0,0,-1,1,False,,-1,
0,9,-1,1,False,True,-1,
0,2,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,8,-1,1,False,,-1,
0,8,-1,1,False,,-1,
0,9,-1,1,False,True,-1,
0,4,-1,1,False,,-1,
0,1,-1,1,False,True,-1,
0,0,-1,0,False,,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,5,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,5,-1,1,False,,-1,
0,0,-1,1,False,,-1,
0,5,-1,1,False,,-1,
0,0,-1,1,False,,-1,
0,1,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,0,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,0,-1,1,False,,-1,
0,0,-1,1,False,,-1,
0,0,-1,1,False,,-1,
0,9,-1,1,False,True,-1,
0,0,-1,1,False,,-1,
0,0,-1,1,False,,-1,
0,1,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,9,-1,1,False,True,-1,
0,5,-1,1,False,,-1,
0,5,-1,1,False,,-1,
0,9,-1,1,False,True,-1,
0,1,-1,1,False,True,-1,
12,5,-1,1,False,,-1,
12,1,-1,1,False,True,-1,
22,9,-1,1,False,True,-1,
32,6,-1,1,False,,-1,
52,9,-1,1,False,True,-1,
52,1,-1,1,False,True,-1,
62,6,-1,1,False,True,-1,
