evidence_type,string,host_class,02_location,note
phase-string,(layerBufferSize*(layerBufferCount):1024,,,
phase-string,--- ----------------- ----,,,
phase-string,--- ERROR: Skipping display mode call,,,
phase-string,--- ERROR: running outputUnitImages(),,,
phase-string,--- ERROR: running printForHelp(),,,
phase-string,--- GameEngine:init() ----,,,
phase-string,--- Loading map ---,,,
phase-string,--- setRunning ---,,,
phase-string,--- setStopped ---,,,
phase-string,--- setStoppedIfNotInGameThread ---,,,
phase-string,---- Loading map data ----,,,
phase-string,----- layerBuffers create in:51.405 ms,,,
phase-string,----- layerBuffers create in:52.1728 ms,,,
phase-string,----- layerBuffers create in:52.349 ms,,,
phase-string,----- layerBuffers create in:52.6629 ms,,,
phase-string,----- layerBuffers create in:52.7891 ms,,,
phase-string,----- layerBuffers create in:54.183 ms,,,
phase-string,----- layerBuffers create in:63.7707 ms,,,
phase-string,----- layerBuffers create in:68.7983 ms,,,
phase-string,----- layerBuffers create in:70.6656 ms,,,
phase-string,----- layerBuffers create in:70.713 ms,,,
phase-string,----- layerBuffers create in:71.4614 ms,,,
phase-string,----- layerBuffers create in:72.3593 ms,,,
phase-string,----- layerBuffers create in:74.2824 ms,,,
phase-string,------- createIndex -------,com.corrodinggames.rts.gameFramework.utility.i,,
phase-string,----------- onGameCrash ----------,,,
phase-string,--Now loading:Asset Index,,,
phase-string,--Now loading:AudioEngine,,,
phase-string,--Now loading:CollisionEngine,,,
phase-string,--Now loading:CommandController,,,
phase-string,--Now loading:Emitter.load,,,
phase-string,--Now loading:Fonts,,,
phase-string,--Now loading:GameEngine,,,
phase-string,--Now loading:GameSaver,,,
phase-string,--Now loading:GroupController,,,
phase-string,--Now loading:GuiEngine,,,
phase-string,--Now loading:InputController,,,
phase-string,--Now loading:InterfaceEngine,,,
phase-string,--Now loading:Last setup,,,
phase-string,--Now loading:Loading custom unit data,,,
phase-string,--Now loading:Loading map data,,,
phase-string,--Now loading:Map Buffers,,,
phase-string,--Now loading:ModEngine,,,
phase-string,--Now loading:MusicController,,,
phase-string,--Now loading:NetworkEngine,,,
phase-string,--Now loading:PathEngine,,,
phase-string,--Now loading:Precalculating map fog,,,
phase-string,--Now loading:Projectile.load,,,
phase-string,--Now loading:ReplayEngine,,,
phase-string,--Now loading:ScorchMark.load,,,
phase-string,--Now loading:SettingsEngine,,,
phase-string,--Now loading:StatsHandler,,,
phase-string,--Now loading:Unit.loadAllUnits,,,
phase-string,--Now loading:UnitGeoIndex,,,
phase-string,--Now loading:displayModes,,,
phase-string,--Now loading:effects.init,,,
phase-string,--Now loading:getAllUnitsChecksum,,,
phase-string,--Now loading:graphics.init,,,
phase-string,--Now loading:init complete,,,
phase-string,--Now loading:libRocket - fonts,,,
phase-string,--Now loading:loading libRocket,,,
phase-string,--Now loading:minimapHandler,,,
phase-string,--Now loading:music,,,
phase-string,--Now loading:starting controllers,,,
phase-string,========= Mods ===========,,,
phase-string,========= Mods data loaded ===========,com.corrodinggames.rts.game.units.custom.ag,,
phase-string,================================,com.corrodinggames.rts.game.units.custom.ag,,
phase-string,==Timing==,com.corrodinggames.rts.game.units.custom.ag,,
phase-string,AudioEngine took:214.911ms,,,
phase-string,AudioEngine took:223.998ms,,,
phase-string,AudioEngine took:224.597ms,,,
phase-string,AudioEngine took:224.757ms,,,
phase-string,AudioEngine took:228.930ms,,,
phase-string,AudioEngine took:229.246ms,,,
phase-string,AudioEngine took:230.504ms,,,
phase-string,AudioEngine took:230.829ms,,,
phase-string,AudioEngine took:245.272ms,,,
phase-string,AudioEngine took:245.331ms,,,
phase-string,AudioEngine took:246.132ms,,,
phase-string,AudioEngine took:254.342ms,,,
phase-string,AudioEngine took:383.070ms,,,
phase-string,Build Number: #28,,,
phase-string,"Could not find unit:combatEngineer at: 47,43",,,
phase-string,"Could not find unit:experimentalSpider at: 127,74",,,
phase-string,Created new gameEngine of:com.corrodinggames.rts.game.i,,,
phase-string,Creating BitmapOrTextureAlias: 1024x1024,,,
phase-string,Creating minimap image buffers..,,,
phase-string,CustomExceptionHandler: defaultUEH==null,,,
phase-string,CustomUnits took:72.382ms,,,
phase-string,CustomUnits took:78.710ms,,,
phase-string,CustomUnits took:80.080ms,,,
phase-string,CustomUnits took:80.846ms,,,
phase-string,CustomUnits took:81.302ms,,,
phase-string,CustomUnits took:81.380ms,,,
phase-string,CustomUnits took:81.506ms,,,
phase-string,CustomUnits took:82.469ms,,,
phase-string,CustomUnits took:86.060ms,,,
phase-string,CustomUnits took:86.849ms,,,
phase-string,CustomUnits took:87.205ms,,,
phase-string,CustomUnits took:89.934ms,,,
phase-string,CustomUnits took:94.120ms,,,
phase-string,"Density size changed now: 1.0, refreshing fonts",,,
phase-string,Disabled mod at:/SD/mods/units/dynProbeMod (name:dynProbeMod),,,
phase-string,Disabled mod at:builtin_mods/mega_builders (name:Mega Builders),,,
phase-string,Disabled mod at:builtin_mods/mega_builders (name:mega_builders),,,
phase-string,Disabling all new mods for first/new load,,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 58.6393ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 62.9538ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 63.5888ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 66.0882ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 66.1982ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 66.8187ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 67.4063ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 68.8769ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 69.0252ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 70.0407ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 71.6637ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 75.7848ms),,,
phase-string,Done loading custom units. image cacheHits:0 image cacheMisses:0 (in: 77.1242ms),,,
phase-string,"Error message: Root locate file:Strings.properties is missing, it is required",,,
phase-string,Error message: document==null,,,
phase-string,Error message: java.lang.NullPointerException,,,
phase-string,Extra safe mode,,,
phase-string,Extra safe mode x2,,,
phase-string,Extra safe mode x3,,,
phase-string,File logging started,,,
phase-string,FileLoader: Could not find asset:assets/builtin_mods/mega_builders/mod-info.txt,,,
phase-string,FileLoader: Could not find asset:assets/maps/menu_background/menu1.tmx,,,
phase-string,FileLoader: Could not find asset:assets/maps/menu_background/menu1_moved,,,
phase-string,FileLoader: Could not find asset:assets/maps/menu_background/menu2.tmx,,,
phase-string,FileLoader: Could not find asset:assets/maps/menu_background/menu2_moved,,,
phase-string,FileLoader: Could not find asset:assets/maps/menu_background/menu3.tmx,,,
phase-string,FileLoader: Could not find asset:assets/maps/menu_background/menu3_moved,,,
phase-string,FileLoader: Could not find asset:assets/tilesets/../../decoration.tsx,,,
phase-string,FileLoader: Could not find asset:assets/tilesets/../decoration.tsx,,,
phase-string,FileLoader: Could not find asset:assets/tilesets/Long Grass.tsx,,,
phase-string,FileLoader: Could not find asset:assets/tilesets/terrain/Long Grass.tsx,,,
phase-string,FileLoader: Could not find asset:assets/translations/Strings.properties,,,
phase-string,FileLoader: isDirectory: file doesn't exist:assets/builtin_mods_enabled,,,
phase-string,FileLoader: isDirectory: file doesn't exist:mods/units,,,
phase-string,Game Code: 176,,,
phase-string,Game Version: 1.15,,,
phase-string,Game arguments:,,,
phase-string,GameEngine:GameEngine(),,,
phase-string,Init completed,,,
phase-string,Is 64bit: true,,,
phase-string,JVM freeMemory:255755640,,,
phase-string,JVM freeMemory:255889552,,,
phase-string,JVM freeMemory:256300112,,,
phase-string,JVM freeMemory:256395648,,,
phase-string,JVM freeMemory:256695128,,,
phase-string,JVM freeMemory:256896168,,,
phase-string,JVM freeMemory:256901120,,,
phase-string,JVM freeMemory:256919992,,,
phase-string,JVM maxMemory:1048576000,,,
phase-string,JVM totalMemory:262144000,,,
phase-string,LWJGL version: 2.9.3,,,
phase-string,Loaded track:Acti-Rudy_Ves-8657.ogg,,,
phase-string,Loaded track:Adama-Bobthede-11966.ogg,,,
phase-string,Loaded track:Cont-Edgen-6084.ogg,,,
phase-string,Loaded track:Ove - Earth Is All We Have.ogg,,,
phase-string,Loaded track:[noloop]Ove Melaa - Theme Crystalized.ogg,,,
phase-string,Loaded track:[noloop]The Planets - Mars (Part A).ogg,,,
phase-string,Loaded track:[noloop]The Planets - Mars (Part B).ogg,,,
phase-string,Loaded track:battletanks1B.ogg,,,
phase-string,Loaded track:sile-Justin_R-6891.ogg,,,
phase-string,Loading mod selection,,,
phase-string,Loading took:1328.049ms,,,
phase-string,Loading took:1341.206ms,,,
phase-string,Loading took:1343.872ms,,,
phase-string,Loading took:1350.454ms,,,
phase-string,Loading took:1354.761ms,,,
phase-string,Loading took:1358.850ms,,,
phase-string,Loading took:1378.908ms,,,
phase-string,Loading took:1386.673ms,,,
phase-string,Loading took:1414.083ms,,,
phase-string,Loading took:1414.135ms,,,
phase-string,Loading took:1416.080ms,,,
phase-string,Loading took:1430.191ms,,,
phase-string,Loading took:1827.063ms,,,
phase-string,Locale.init took:4.554ms,,,
phase-string,Locale.init took:4.603ms,,,
phase-string,Locale.init took:4.608ms,,,
phase-string,Locale.init took:4.809ms,,,
phase-string,Locale.init took:4.856ms,,,
phase-string,Locale.init took:4.878ms,,,
phase-string,Locale.init took:4.950ms,,,
phase-string,Locale.init took:5.139ms,,,
phase-string,Locale.init took:5.313ms,,,
phase-string,Locale.init took:6.502ms,,,
phase-string,Locale.init took:6.778ms,,,
phase-string,Locale.init took:7.449ms,,,
phase-string,Locale.init took:8.517ms,,,
phase-string,Locale: Using Strings.properties as locale,,,
phase-string,Locale: Using Strings_zh_cn.properties as locale,,,
phase-string,Locale: default targetLocale ISO3:zho,,,
phase-string,Locale: default targetLocale:zh_CN,,,
phase-string,Locale: forceEnglish,,,
phase-string,"Map size: 120, 120",,,
phase-string,"Map size: 160, 160",,,
phase-string,"Map size: 170, 170",,,
phase-string,MapLayer create: Ground,,,
phase-string,MapLayer create: Items,,,
phase-string,MapLayer create: Units,,,
phase-string,Mapfile: assets/maps/menu_background/menu1.tmx,,,
phase-string,Mapfile: assets/maps/menu_background/menu1_moved,,,
