type,obfuscated_package,obfuscated_class,obfuscated_member,meaningful_name,notes,verified
field,a.a,ReliableServerSocket,a,udpSocket,Listening UDP DatagramSocket,unverifiable-rebuilt
field,a.a,ReliableServerSocket,b,profile,Connection profile (ReliableProfile),unverifiable-rebuilt
field,a.a,ReliableServerSocket,c,localPort,Local port number (int),unverifiable-rebuilt
field,a.a,ReliableServerSocket,d,acceptQueue,Pending accept connections queue,verified-exists
field,a.a,ReliableServerSocket,e,bound,Bound to port flag (boolean),verified-exists
field,a.a,ReliableServerSocket,f,closed,Server socket closed flag (boolean),verified-exists
field,a.a,ReliableServerSocket,g,acceptThread,Accept thread reference (Thread),verified-exists
field,a.a,ReliableServerSocket,h,acceptLock,Accept synchronization lock (Object),verified-exists
field,a.a,ReliableServerSocket,i,backlog,Connection backlog size (int),verified-exists
field,a.a,ReliableSocket,A,maxRetransmissions,Max retransmission count (private int),verified-exists
field,a.a,ReliableSocket,B,maxCumulativeAcks,Max cumulative ACK count (private int),verified-exists
field,a.a,ReliableSocket,C,receiveQueueCapacity,Receive queue capacity (private int),verified-exists
field,a.a,ReliableSocket,D,sendQueueCapacity,Send queue capacity (private int),verified-exists
field,a.a,ReliableSocket,E,nullSegmentTimer,Null segment keep-alive timer (private i),verified-exists
field,a.a,ReliableSocket,F,retransmissionTimer,Retransmission timer (private i),verified-exists
field,a.a,ReliableSocket,G,cumulativeAckTimer,Cumulative ACK timer (private i),verified-exists
field,a.a,ReliableSocket,H,keepAliveTimer,Connection keep-alive timer (private i),verified-exists
field,a.a,ReliableSocket,I,globalDebugFlag,Global RUDP debug flag (static final boolean),verified-exists
field,a.a,ReliableSocket,a,receiveBuffer,Single-byte receive buffer (private byte[]),verified-exists
field,a.a,ReliableSocket,b,connected,Connection established flag (private boolean),verified-exists
field,a.a,ReliableSocket,c,udpSocket,DatagramSocket for UDP I/O (protected),verified-exists
field,a.a,ReliableSocket,d,remoteAddress,Remote socket address (protected SocketAddress),verified-exists
field,a.a,ReliableSocket,e,inputStream,ReliableInputStream for reading (protected o),verified-exists
field,a.a,ReliableSocket,f,outputStream,ReliableOutputStream for writing (protected q),verified-exists
field,a.a,ReliableSocket,g,profile,Connection profile/config (protected r=ReliableProfile),verified-exists
field,a.a,ReliableSocket,h,debugEnabled,Debug logging enabled (public boolean),verified-exists
field,a.a,ReliableSocket,i,inputShutdown,Input stream shutdown flag (private boolean),verified-exists
field,a.a,ReliableSocket,j,outputShutdown,Output stream shutdown flag (private boolean),verified-exists
field,a.a,ReliableSocket,k,autoStart,Auto-start connection on creation (private boolean),verified-exists
field,a.a,ReliableSocket,l,receiveWindowSize,Receive window size in segments (private int),verified-exists
field,a.a,ReliableSocket,m,sendWindowSize,Send window size in segments (private int),verified-exists
field,a.a,ReliableSocket,n,closed,Socket closed flag (private boolean),verified-exists
field,a.a,ReliableSocket,o,closing,Socket closing in progress flag (private boolean),verified-exists
field,a.a,ReliableSocket,p,soTimeout,Socket timeout ms (private int  -1=infinite),verified-exists
field,a.a,ReliableSocket,q,receiveLock,Receive synchronization lock (private Object),verified-exists
field,a.a,ReliableSocket,r,sendLock,Send synchronization lock (private Object),verified-exists
field,a.a,ReliableSocket,s,pendingConnections,Pending connection list (private ArrayList),verified-exists
field,a.a,ReliableSocket,t,activeConnections,Active connection list (private ArrayList),verified-exists
field,a.a,ReliableSocket,u,receiveQueue,Received segments queue (private ArrayList),verified-exists
field,a.a,ReliableSocket,v,sendQueue,Outgoing segments queue (private ArrayList),verified-exists
field,a.a,ReliableSocket,w,eventListeners,Connection event listeners (private ArrayList),verified-exists
field,a.a,ReliableSocket,x,stateLock,State change synchronization lock (private Object),verified-exists
field,a.a,ReliableSocket,y,taskRunner,Timed task/scheduler runner (private i),verified-exists
field,a.a,ReliableSocket,z,receiverThread,Background receiver thread (private Thread),verified-exists
field,a.a,SocketStats,a,bytesSent,Total bytes sent (long),verified-exists
field,a.a,SocketStats,b,bytesReceived,Total bytes received (long),verified-exists
field,a.a,SocketStats,c,packetsSent,Total packets sent (int),verified-exists
field,a.a,SocketStats,d,packetsReceived,Total packets received (int),verified-exists
field,a.a,SocketStats,e,packetsLost,Total packets lost (int),verified-exists
field,a.a,o,a,socket,Parent ReliableSocket reference,verified-exists
field,a.a,o,b,receiveBuffer,Receive data buffer (byte[]),verified-exists
field,a.a,o,c,bufferPosition,Buffer read position (int),verified-exists
field,a.a,o,d,bufferSize,Buffer valid data size (int),verified-exists
field,a.a,q,a,socket,Parent ReliableSocket reference,verified-exists
field,a.a,q,b,sendBuffer,Send data buffer (byte[]),verified-exists
field,a.a,q,c,bufferPosition,Buffer write position (int),verified-exists
field,a.a,r,a,maxSegmentSize,Maximum segment size (int),verified-exists
field,a.a,r,b,maxRetransmissions,Max retransmissions per segment (int),verified-exists
field,a.a,r,c,maxCumulativeAcks,Max cumulative ACKs (int),verified-exists
field,a.a,r,d,retransmissionTimeout,Base retransmission timeout ms (int),verified-exists
field,a.a,r,e,cumulativeAckTimeout,Cumulative ACK timeout ms (int),verified-exists
field,a.a,r,f,nullSegmentTimeout,Null segment/keepalive timeout ms (int),verified-exists
field,a.a,r,g,maxResetAttempts,Max connection reset attempts (int),verified-exists
field,a.a,r,h,connectTimeout,Connection timeout ms (int),verified-exists
field,a.a,r,i,connectionBufferSize,Connection buffer size (int),verified-exists
field,a.a,r,j,segmentReceiveTimeout,Segment receive timeout ms (int),verified-exists
field,a.a,r,k,windowSize,Flight/flow-control window size (int),verified-exists
field,a.a,r,l,checksumEnabled,Checksum validation enabled (boolean),verified-exists
method,a.a.a,i,a,get_a,"""[Phase3-method] returns boolean""",verified-exists
method,a.a.a,i,b,get_b,"""[Phase3-method] returns int""",verified-exists
method,a.a.a,i,c,isEnabled,[EXTERNAL: ReliableUDP library (KryoNet)],platform-or-external
method,a.a.a,i,d,reset,[EXTERNAL: ReliableUDP library (KryoNet)],platform-or-external
method,a.a.a,i,e,reset,[EXTERNAL: ReliableUDP library (KryoNet)],platform-or-external
method,a.a.a,i,f,reset,[EXTERNAL: ReliableUDP library (KryoNet)],platform-or-external
field,a.a.a,i,g,isCancelled,Cancelled before execution (private boolean),verified-exists
field,a.a.a,i,h,isDaemon,Run as daemon thread (private boolean),verified-exists
field,a.a.a,i,i,hasExecuted,Has executed at least once (private boolean),verified-exists
field,a.a.a,i,j,waitLock,Wait/notify lock object (private Object),verified-exists
